"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1510,1,1510.125,-1,-0.670194,-0.530315,-0.898319,-1.579463,-2.487896,-1.950894,-1.505119,-1.40617,-1.323182,-1.252338,-1.19098
1510,2,1510.20833333333,-1,-1.340387,-1.06063,-0.898319,-1.184597,-1.777069,-2.601192,-2.107166,-1.687404,-1.587819,-1.502806,-1.429176
1510,3,1510.29166666667,1,0,-0.530315,-0.449159,-0.394866,-0.710827,-1.300596,-2.107166,-1.687404,-1.323182,-1.252338,-1.19098
1510,4,1510.375,0,0.670194,0,-0.449159,-0.394866,-0.355414,-0.650298,-1.204095,-1.968638,-1.587819,-1.252338,-1.19098
1510,5,1510.45833333333,2,1.340387,1.590945,0.898319,0.394866,0.355414,0.325149,0,-0.562468,-1.323182,-1.001871,-0.714588
1510,6,1510.54166666667,0,1.340387,1.06063,1.347478,0.789732,0.355414,0.325149,0.301024,0,-0.529273,-1.252338,-0.952784
1510,7,1510.625,0,0,1.06063,0.898319,1.184597,0.710827,0.325149,0.301024,0.281234,0,-0.500935,-1.19098
1510,8,1510.70833333333,0,0,0,0.898319,0.789732,1.066241,0.650298,0.301024,0.281234,0.264636,0,-0.476392
1510,9,1510.79166666667,0,0,0,0,0.789732,0.710827,0.975447,0.602047,0.281234,0.264636,0.250468,0
1510,10,1510.875,0,0,0,0,0,0.710827,0.650298,0.903071,0.562468,0.264636,0.250468,0.238196
1510,11,1510.95833333333,-1,-0.670194,-0.530315,-0.449159,-0.394866,-0.355414,0.325149,0.301024,0.562468,0.264636,0,0
1510,12,1511.04166666667,2,0.670194,0.530315,0.449159,0.394866,0.355414,0.325149,0.903071,0.843702,1.058546,0.751403,0.476392
1511,1,1511.125,0,1.340387,0.530315,0.449159,0.394866,0.355414,0.325149,0.301024,0.843702,0.793909,1.001871,0.714588
1511,2,1511.20833333333,2,1.340387,2.12126,1.347478,1.184597,1.066241,0.975447,0.903071,0.843702,1.323182,1.252338,1.429176
1511,3,1511.29166666667,1,2.010581,1.590945,2.245797,1.579463,1.421655,1.300596,1.204095,1.124936,1.058546,1.502806,1.429176
